symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-10-29 00:00:00+00:00,115.32,116.93,112.2,112.37,146129173,112.1849035,113.751134,109.149724,109.3151024,146129173,0,1
AAPL,2020-10-30 00:00:00+00:00,108.86,111.99,107.72,111.06,190573476,105.9005255,108.9454331,104.7915176,108.0407161,190573476,0,1
AAPL,2020-11-02 00:00:00+00:00,108.77,110.68,107.32,109.11,122866899,105.8129722,107.6710468,104.402392,106.143729,122866899,0,1
AAPL,2020-11-03 00:00:00+00:00,110.44,111.49,108.73,109.66,107624448,107.4375715,108.4590261,105.7740597,106.6787766,107624448,0,1
AAPL,2020-11-04 00:00:00+00:00,114.95,115.59,112.35,114.14,138235482,111.8249624,112.4475633,109.2956461,111.0369831,138235482,0,1
AAPL,2020-11-05 00:00:00+00:00,119.03,119.62,116.8686,117.95,126387074,115.7940432,116.3680035,113.6914032,114.7434042,126387074,0,1
AAPL,2020-11-06 00:00:00+00:00,118.69,119.2,116.13,118.32,114457922,115.6627134,116.1597054,113.1680083,115.3021505,114457922,0.205,1
AAPL,2020-11-09 00:00:00+00:00,116.32,121.99,116.05,120.5,154515315,113.3531622,118.8785441,113.0900487,117.4265478,154515315,0,1
AAPL,2020-11-10 00:00:00+00:00,115.97,117.59,114.13,115.55,138023390,113.0120892,114.5907698,111.2190199,112.6028016,138023390,0,1
AAPL,2020-11-11 00:00:00+00:00,119.49,119.63,116.44,117.19,112294954,116.4423087,116.5787379,113.4701015,114.2009721,112294954,0,1
AAPL,2020-11-12 00:00:00+00:00,119.21,120.53,118.57,119.62,103350674,116.1694503,117.4557826,115.545774,116.5689929,103350674,0,1
AAPL,2020-11-13 00:00:00+00:00,119.26,119.6717,117.87,119.44,81688586,116.218175,116.6193743,114.8636281,116.393584,81688586,0,1
AAPL,2020-11-16 00:00:00+00:00,120.3,120.99,118.146,118.92,91183018,117.231649,117.9040499,115.1325885,115.886847,91183018,0,1
AAPL,2020-11-17 00:00:00+00:00,119.39,120.6741,118.96,119.55,74270973,116.3448593,117.5962072,115.9258268,116.5007783,74270973,0,1
AAPL,2020-11-18 00:00:00+00:00,118.03,119.82,118,118.61,76322111,115.0195472,116.7638918,114.9903124,115.5847538,76322111,0,1
